# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1786800745521,1465.0,53.0,88.0,,,,44.705882352941174,,24.0,7.95,,-7.03125,,11.8,4,CLOSED LOOP
1786800746626,1465.0,53.0,88.0,,,,44.705882352941174,,24.0,3.2,,0.0,,11.8,4,OPEN (DRIVE)
1786800747669,1456.0,51.0,88.0,,,,44.705882352941174,,24.0,5.95,,0.0,,11.9,4,OPEN LOOP
1786800748795,1640.0,52.0,88.0,,,,44.705882352941174,,24.0,5.95,,1.5625,,11.9,4,CLOSED LOOP
1786800749899,1587.0,52.0,88.0,,,,44.705882352941174,,24.0,11.37,,-4.6875,,11.9,4,CLOSED LOOP
1786800751896,1481.0,53.0,88.0,,,,44.705882352941174,,24.0,3.17,,0.0,,11.8,4,OPEN LOOP
1786800752911,1578.0,53.0,88.0,,,,44.705882352941174,,24.0,11.62,,0.0,,11.8,4,CLOSED LOOP
1786800754642,1481.0,52.0,88.0,,,,44.705882352941174,,24.0,6.4,,0.0,,11.8,4,CLOSED LOOP
1786800756390,1428.0,52.0,88.0,,,,44.705882352941174,,24.0,3.14,,0.0,,11.8,4,OPEN (DRIVE)
1786800758270,1627.0,51.0,88.0,,,,44.705882352941174,,24.0,14.3,66.0,0.0,,12.0,4,CLOSED LOOP
1786800759316,1604.0,51.0,88.0,,,,44.705882352941174,,24.0,14.3,70.0,-4.6875,,12.0,4,CLOSED LOOP
1786800760570,1547.0,53.0,88.0,,,,44.705882352941174,,24.0,12.7,71.0,-5.46875,,11.8,4,CLOSED LOOP
1786800761606,1573.0,53.0,88.0,,,,44.705882352941174,,24.0,13.45,71.0,-5.46875,,11.8,4,CLOSED LOOP
1786800762713,1590.0,55.0,88.0,,,,44.705882352941174,,24.0,8.47,46.0,-6.25,,11.8,4,CLOSED LOOP
1786800763734,1528.0,55.0,88.0,,,,44.705882352941174,,24.0,8.47,21.0,0.0,,11.8,4,OPEN (DRIVE)
1786800765011,1493.0,55.0,88.0,,,,44.705882352941174,,24.0,3.17,20.0,0.0,,11.8,4,OPEN (DRIVE)
1786800766268,1431.0,52.0,88.0,,,,44.705882352941174,,24.0,7.11,41.0,2.34375,,12.0,4,OPEN (DRIVE)
1786800767395,1670.0,52.0,88.0,,,,44.705882352941174,,24.0,12.61,61.0,-0.78125,,12.2,4,CLOSED LOOP
1786800768665,1562.0,53.0,88.0,,,,44.705882352941174,,24.0,8.94,49.0,-6.25,,12.2,4,CLOSED LOOP
1786800770027,1494.0,53.0,88.0,,,,44.705882352941174,,24.0,5.29,23.0,0.0,,11.9,4,OPEN (DRIVE)
1786800771304,1463.0,52.0,88.0,,,,44.705882352941174,,24.0,5.24,23.0,0.0,,11.9,4,OPEN LOOP
1786800772486,1579.0,52.0,88.0,,,,44.705882352941174,,24.0,7.77,39.0,2.34375,,11.8,4,CLOSED LOOP
